LAMMPS data file (FCC Fe–Ni–Cr, equiatomic ~1/3 each)
500 atoms
3 atom types

0.000000 10.000000 xlo xhi
0.000000 10.000000 ylo yhi
0.000000 10.000000 zlo zhi

Masses

1 55.845000 # Fe
2 58.693400 # Ni
3 51.996100 # Cr

Atoms # atomic
1 1 0.00000000 0.00000000 0.00000000
2 3 1.00000000 1.00000000 0.00000000
3 1 1.00000000 0.00000000 1.00000000
4 1 0.00000000 1.00000000 1.00000000
5 1 0.00000000 0.00000000 2.00000000
6 1 1.00000000 1.00000000 2.00000000
7 2 1.00000000 0.00000000 3.00000000
8 2 0.00000000 1.00000000 3.00000000
9 1 0.00000000 0.00000000 4.00000000
10 3 1.00000000 1.00000000 4.00000000
11 3 1.00000000 0.00000000 5.00000000
12 3 0.00000000 1.00000000 5.00000000
13 1 0.00000000 0.00000000 6.00000000
14 2 1.00000000 1.00000000 6.00000000
15 3 1.00000000 0.00000000 7.00000000
16 1 0.00000000 1.00000000 7.00000000
17 3 0.00000000 0.00000000 8.00000000
18 1 1.00000000 1.00000000 8.00000000
19 2 1.00000000 0.00000000 9.00000000
20 2 0.00000000 1.00000000 9.00000000
21 3 0.00000000 2.00000000 0.00000000
22 2 1.00000000 3.00000000 0.00000000
23 2 1.00000000 2.00000000 1.00000000
24 3 0.00000000 3.00000000 1.00000000
25 1 0.00000000 2.00000000 2.00000000
26 3 1.00000000 3.00000000 2.00000000
27 2 1.00000000 2.00000000 3.00000000
28 2 0.00000000 3.00000000 3.00000000
29 2 0.00000000 2.00000000 4.00000000
30 2 1.00000000 3.00000000 4.00000000
31 1 1.00000000 2.00000000 5.00000000
32 1 0.00000000 3.00000000 5.00000000
33 2 0.00000000 2.00000000 6.00000000
34 1 1.00000000 3.00000000 6.00000000
35 2 1.00000000 2.00000000 7.00000000
36 1 0.00000000 3.00000000 7.00000000
37 3 0.00000000 2.00000000 8.00000000
38 1 1.00000000 3.00000000 8.00000000
39 2 1.00000000 2.00000000 9.00000000
40 1 0.00000000 3.00000000 9.00000000
41 3 0.00000000 4.00000000 0.00000000
42 2 1.00000000 5.00000000 0.00000000
43 1 1.00000000 4.00000000 1.00000000
44 2 0.00000000 5.00000000 1.00000000
45 3 0.00000000 4.00000000 2.00000000
46 1 1.00000000 5.00000000 2.00000000
47 1 1.00000000 4.00000000 3.00000000
48 2 0.00000000 5.00000000 3.00000000
49 2 0.00000000 4.00000000 4.00000000
50 2 1.00000000 5.00000000 4.00000000
51 1 1.00000000 4.00000000 5.00000000
52 1 0.00000000 5.00000000 5.00000000
53 3 0.00000000 4.00000000 6.00000000
54 2 1.00000000 5.00000000 6.00000000
55 1 1.00000000 4.00000000 7.00000000
56 2 0.00000000 5.00000000 7.00000000
57 2 0.00000000 4.00000000 8.00000000
58 1 1.00000000 5.00000000 8.00000000
59 1 1.00000000 4.00000000 9.00000000
60 3 0.00000000 5.00000000 9.00000000
61 2 0.00000000 6.00000000 0.00000000
62 3 1.00000000 7.00000000 0.00000000
63 1 1.00000000 6.00000000 1.00000000
64 1 0.00000000 7.00000000 1.00000000
65 1 0.00000000 6.00000000 2.00000000
66 1 1.00000000 7.00000000 2.00000000
67 2 1.00000000 6.00000000 3.00000000
68 2 0.00000000 7.00000000 3.00000000
69 3 0.00000000 6.00000000 4.00000000
70 3 1.00000000 7.00000000 4.00000000
71 1 1.00000000 6.00000000 5.00000000
72 3 0.00000000 7.00000000 5.00000000
73 2 0.00000000 6.00000000 6.00000000
74 3 1.00000000 7.00000000 6.00000000
75 3 1.00000000 6.00000000 7.00000000
76 3 0.00000000 7.00000000 7.00000000
77 2 0.00000000 6.00000000 8.00000000
78 3 1.00000000 7.00000000 8.00000000
79 2 1.00000000 6.00000000 9.00000000
80 1 0.00000000 7.00000000 9.00000000
81 1 0.00000000 8.00000000 0.00000000
82 1 1.00000000 9.00000000 0.00000000
83 3 1.00000000 8.00000000 1.00000000
84 2 0.00000000 9.00000000 1.00000000
85 3 0.00000000 8.00000000 2.00000000
86 3 1.00000000 9.00000000 2.00000000
87 3 1.00000000 8.00000000 3.00000000
88 1 0.00000000 9.00000000 3.00000000
89 3 0.00000000 8.00000000 4.00000000
